,Unnamed: 0_x,Unnamed: 0.1,GISJOIN,COUNTY,Median age: Total,total_population,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Lives alone,Householder living with spouse or spouse of householder,Householder living with unmarried partner or unmarried partner of householder,No schooling completed,Regular high school diploma,Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree,English only,Spanish,In labor force: Civilian labor force: Unemployed,Below Poverty Line,longitude,latitude,Unnamed: 0_y,percapita-income
63,63,63,17127,Massac County,43.8,14594,91.0,6.0,0.0,0.0,0.0,14.000000000000002,41.0,4.0,1.0,21.0,8.0,6.0,2.0,0.0,0.0,40.0,1.0,3.0,18.0,-88.70774449066037,37.2190271245866,63,23434
64,64,64,17129,Menard County,42.3,12416,97.0,1.0,0.0,0.0,0.0,11.0,47.0,6.0,0.0,21.0,7.000000000000001,12.0,3.0,1.0,1.0,41.0,1.0,2.0,11.0,-89.80217024029068,40.02739688558314,64,32839
65,65,65,17131,Mercer County,44.8,15794,97.0,1.0,0.0,0.0,0.0,11.0,47.0,6.0,0.0,25.0,6.0,9.0,3.0,1.0,0.0,41.0,1.0,3.0,11.0,-90.74140815391104,41.20533871276026,65,27844
66,66,66,17133,Monroe County,42.3,33739,98.0,0.0,0.0,1.0,0.0,8.0,50.0,3.0,0.0,19.0,6.0,14.000000000000002,6.0,1.0,1.0,37.0,0.0,2.0,5.0,-90.17737675931654,38.278648715746115,66,37043
67,67,67,17135,Montgomery County,42.4,29173,92.0,6.0,0.0,0.0,0.0,11.0,39.0,5.0,0.0,23.0,6.0,6.0,3.0,0.0,0.0,38.0,0.0,2.0,13.0,-89.47887032678099,39.23104006112085,67,23172
68,68,68,17137,Morgan County,41.2,34442,91.0,6.0,0.0,1.0,0.0,13.0,38.0,5.0,0.0,25.0,5.0,10.0,3.0,1.0,1.0,39.0,0.0,3.0,13.0,-90.20149589868969,39.71556484771259,68,26253
69,69,69,17139,Moultrie County,39.9,14711,98.0,1.0,0.0,0.0,0.0,11.0,44.0,6.0,1.0,19.0,7.000000000000001,8.0,3.0,0.0,0.0,37.0,0.0,1.0,12.0,-88.61929917651648,39.64147938138822,69,26166
70,70,70,17141,Ogle County,41.9,51619,94.0,1.0,0.0,0.0,0.0,11.0,44.0,6.0,1.0,20.0,7.000000000000001,9.0,4.0,0.0,0.0,37.0,2.0,3.0,11.0,-89.32065389865456,42.042644749147854,70,29239
71,71,71,17143,Peoria County,37.0,186145,73.0,18.0,0.0,4.0,0.0,13.0,34.0,4.0,0.0,15.0,7.000000000000001,13.0,6.0,1.0,1.0,36.0,1.0,4.0,15.0,-89.75998651435923,40.78808061439606,71,29683
72,72,72,17145,Perry County,41.8,21467,89.0,9.0,0.0,1.0,0.0,13.0,36.0,4.0,0.0,21.0,8.0,6.0,2.0,0.0,0.0,37.0,0.0,3.0,13.0,-89.36701517012536,38.08376029255486,72,23929
73,73,73,17147,Piatt County,43.0,16433,94.0,1.0,0.0,0.0,0.0,10.0,49.0,5.0,0.0,22.0,8.0,13.0,5.0,1.0,1.0,39.0,0.0,2.0,5.0,-88.59109120795038,40.010366620158074,73,33672
